Component Name;Artifact Name;Description;Version Currently Integrated;Link;License Type;License Link
reload4j;reload4j;Reload4j revives EOLed log4j 1.x;1.2.22;https://reload4j.qos.ch;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Handy URI Templates;handy-uri-templates;Handy URI Templates is a RFC6570 compliant URI template processor. The library allows clients to ...;2.1.8;https://github.com/damnhandy/Handy-URI-Templates;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
minimal-json;minimal-json;A Minimal JSON Parser and Writer;0.9.5;https://github.com/ralfstx/minimal-json;MIT License;https://opensource.org/licenses/MIT
Jackson-annotations;jackson-annotations;Core annotations used for value types, used by Jackson data binding package. ;2.20;https://github.com/FasterXML/jackson;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Jackson-core;jackson-core;Core Jackson processing abstractions (aka Streaming API), implementation for JSON;2.20.0;https://github.com/FasterXML/jackson-core;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
jackson-databind;jackson-databind;General data-binding functionality for Jackson: works on core streaming API;2.20.0;https://github.com/FasterXML/jackson;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Jackson-dataformat-CSV;jackson-dataformat-csv;Support for reading and writing CSV-encoded data via Jacksonabstractions. ;2.20.0;https://github.com/FasterXML/jackson-dataformats-text;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Jackson datatype: Guava;jackson-datatype-guava;Add-on datatype-support module for Jackson (https://github.com/FasterXML/jackson) that handlesGuava...;2.20.0;https://github.com/FasterXML/jackson-datatypes-collections;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Jackson datatype: jdk8;jackson-datatype-jdk8;Add-on module for Jackson (https://github.com/FasterXML/jackson) to supportJDK 8 data types. ;2.20.0;https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jdk8;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Jackson datatype: Joda;jackson-datatype-joda;Add-on module for Jackson (https://github.com/FasterXML/jackson) to support Joda (https://www.joda.o...;2.20.0;https://github.com/FasterXML/jackson-datatype-joda;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Jackson datatype: JSR310;jackson-datatype-jsr310;Add-on module to support JSR-310 (Java 8 Date & Time API) data types.;2.20.0;https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jsr310;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Jackson module: Blackbird;jackson-module-blackbird;Jackson (https://github.com/FasterXML/jackson) extension modulethat uses LambdaMetafactory based co...;2.20.0;https://github.com/FasterXML/jackson-modules-base;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Jackson-module-parameter-names;jackson-module-parameter-names;Add-on module for Jackson (https://github.com/FasterXML/jackson) to supportintrospection of method/...;2.20.0;https://github.com/FasterXML/jackson-modules-java8/jackson-module-parameter-names;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
everit-json-schema;everit-json-schema;Implementation of the JSON Schema Core Draft v4 specification built with the org.json API;1.14.6;https://github.com/erosb/everit-json-schema;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
json-sKema;json-sKema;JSON Schema Parser and Validator;0.24.0;https://github.com/erosb/json-sKema;MIT License;https://opensource.org/licenses/MIT
zstd-jni;zstd-jni;JNI bindings for Zstd native library that provides fast and high compression lossless algorithm for ...;1.5.6-10;https://github.com/luben/zstd-jni;The 2-Clause BSD License;https://opensource.org/licenses/BSD-2-Clause
proto-google-common-protos;proto-google-common-protos;PROTO library for proto-google-common-protos;2.53.0;https://github.com/googleapis/sdk-platform-java;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Gson;gson;Gson JSON library;2.8.9;https://github.com/google/gson/gson;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
error-prone annotations;error_prone_annotations;N/A;2.18.0;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Guava InternalFutureFailureAccess and InternalFutures;failureaccess; Contains com.google.common.util.concurrent.internal.InternalFutureFailureAccess and Int...;1.0.1;https://github.com/google/guava/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Guava: Google Core Libraries for Java;guava; Guava is a suite of core and expanded libraries that include utility classes, Google's coll...;32.0.1-jre;https://github.com/google/guava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Guava ListenableFuture only;listenablefuture; An empty artifact that Guava depends on to signal that it is providing ListenableFuture -- ...;9999.0-empty-to-avoid-conflict-with-guava;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
J2ObjC Annotations;j2objc-annotations; A set of annotations that provide additional information to the J2ObjC translator to modify...;2.8;https://github.com/google/j2objc/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Protocol Buffers [Core];protobuf-java; Core Protocol Buffers library. Protocol Buffers are a way of encoding structured data in an ...;4.31.1;https://developers.google.com/protocol-buffers/;The 3-Clause BSD License;https://opensource.org/licenses/BSD-3-Clause
Protocol Buffers [Util];protobuf-java-util;Utilities for Protocol Buffers;4.31.1;https://developers.google.com/protocol-buffers/;The 3-Clause BSD License;https://opensource.org/licenses/BSD-3-Clause
RE2/J;re2j;Linear time regular expressions for Java;1.8;http://github.com/google/re2j;Go License;https://golang.org/LICENSE
